"goods_no","image_type","image_seq","image_url"
"A000000232212","thumbnail","1","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023221220ko.jpg?l=ko"
"A000000232212","thumbnail","2","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023221219ko.jpg?l=ko"
"A000000232212","thumbnail","3","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023221218ko.jpeg?l=ko"
"A000000232212","detail","1","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop0/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/09e_21194947.jpg?created=202603311955"
"A000000232212","detail","2","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop1/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/09e_21194947.jpg?created=202603311955"
"A000000232212","detail","3","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop2/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/09e_21194947.jpg?created=202603311955"
"A000000232212","detail","4","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop0/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/e3a_21194754.jpg?created=202603311955"
"A000000232212","detail","5","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop1/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/e3a_21194754.jpg?created=202603311955"
"A000000232212","detail","6","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop0/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/520_21194758.jpg?created=202603311955"
"A000000232212","detail","7","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop1/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/520_21194758.jpg?created=202603311955"
"A000000232212","detail","8","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop0/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/28/433_28120121.jpg?created=202603311955"
"A000000232212","detail","9","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop1/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/28/433_28120121.jpg?created=202603311955"
"A000000232212","detail","10","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop2/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/28/433_28120121.jpg?created=202603311955"
"A000000232212","detail","11","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop3/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/28/433_28120121.jpg?created=202603311955"
"A000000232212","detail","12","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop4/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/28/433_28120121.jpg?created=202603311955"
"A000000232212","detail","13","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop5/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/28/433_28120121.jpg?created=202603311955"
"A000000232212","detail","14","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop6/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/28/433_28120121.jpg?created=202603311955"
"A000000232212","detail","15","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop7/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/28/433_28120121.jpg?created=202603311955"
"A000000232212","detail","16","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop8/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/28/433_28120121.jpg?created=202603311955"
"A000000232212","detail","17","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop9/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/28/433_28120121.jpg?created=202603311955"
"A000000232212","detail","18","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop10/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/28/433_28120121.jpg?created=202603311955"
"A000000232212","detail","19","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop11/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/28/433_28120121.jpg?created=202603311955"
"A000000232212","detail","20","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/8cf_21194604.gif"
"A000000232212","detail","21","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop0/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/01c_21194608.jpg?created=202603311955"
"A000000232212","detail","22","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop1/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/01c_21194608.jpg?created=202603311955"
"A000000232212","detail","23","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop2/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/01c_21194608.jpg?created=202603311955"
"A000000232212","detail","24","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop3/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/01c_21194608.jpg?created=202603311955"
"A000000232212","detail","25","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop4/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/01c_21194608.jpg?created=202603311955"
"A000000232212","detail","26","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop5/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/01c_21194608.jpg?created=202603311955"
"A000000232212","detail","27","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop6/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/01c_21194608.jpg?created=202603311955"
"A000000232212","detail","28","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop7/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/01c_21194608.jpg?created=202603311955"
"A000000232212","detail","29","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/a15_21194624.gif"
"A000000232212","detail","30","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop0/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/2d7_21194629.jpg?created=202603311955"
"A000000232212","detail","31","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop1/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/2d7_21194629.jpg?created=202603311955"
"A000000232212","detail","32","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop2/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/2d7_21194629.jpg?created=202603311955"
"A000000232212","detail","33","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop3/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/2d7_21194629.jpg?created=202603311955"
"A000000232212","detail","34","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/204_21194652.gif"
"A000000232212","detail","35","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop0/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/1ae_21194656.jpg?created=202603311955"
"A000000232212","detail","36","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop1/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/1ae_21194656.jpg?created=202603311955"
"A000000232212","detail","37","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop2/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/1ae_21194656.jpg?created=202603311955"
"A000000232212","detail","38","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop3/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/1ae_21194656.jpg?created=202603311955"
"A000000232212","detail","39","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop4/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/1ae_21194656.jpg?created=202603311955"
"A000000232212","detail","40","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop5/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/1ae_21194656.jpg?created=202603311955"
"A000000232212","detail","41","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop6/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/1ae_21194656.jpg?created=202603311955"
"A000000232212","detail","42","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/952_21194716.gif"
"A000000232212","detail","43","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop0/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/6a8_21194720.jpg?created=202603311955"
"A000000232212","detail","44","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/60c_21194724.gif"
"A000000232212","detail","45","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop0/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/ee0_21194730.jpg?created=202603311955"
"A000000232212","detail","46","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop1/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/ee0_21194730.jpg?created=202603311955"
"A000000232212","detail","47","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop2/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/ee0_21194730.jpg?created=202603311955"
"A000000232212","detail","48","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop3/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/ee0_21194730.jpg?created=202603311955"
"A000000232212","detail","49","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop4/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/ee0_21194730.jpg?created=202603311955"
"A000000232212","detail","50","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop5/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/ee0_21194730.jpg?created=202603311955"
"A000000232212","detail","51","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop6/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/ee0_21194730.jpg?created=202603311955"
"A000000232212","detail","52","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop7/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/ee0_21194730.jpg?created=202603311955"
"A000000232212","detail","53","https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/crop/A000000232212/202603311955/crop8/image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/html/attached/2025/08/21/ee0_21194730.jpg?created=202603311955"
